date,state,city,address,killed,injured,incident
"June 25, 2016",Virginia,Norfolk,700 block of Craig Street,0,4,http://www.gunviolencearchive.org/incident/589470
"June 25, 2016",Illinois,Chicago,1400 block of W. 114th Place,0,4,http://www.gunviolencearchive.org/incident/587983
"June 24, 2016",Kansas,Kansas City,N. 3rd and Walker,0,4,http://www.gunviolencearchive.org/incident/589046
"June 24, 2016",Connecticut,Hartford,Brook and Winter Street,0,5,http://www.gunviolencearchive.org/incident/587735
"June 24, 2016",Maryland,District Heights,3100 block of Orleans Ave,3,2,http://www.gunviolencearchive.org/incident/587769
"June 22, 2016",Washington,Olympia,500 block of Dutterow Road SE,3,1,http://www.gunviolencearchive.org/incident/585821
"June 22, 2016",Georgia,Dekalb (county),Lancashire Drive and Central Drive,1,4,http://www.gunviolencearchive.org/incident/586122
"June 22, 2016",Illinois,Chicago,3100 block of West Warren,0,4,http://www.gunviolencearchive.org/incident/586058
"June 21, 2016",New Jersey,Willingboro,Mosshill Lane,0,4,http://www.gunviolencearchive.org/incident/586044
"June 21, 2016",Kentucky,Louisville,2802 Rodman Street,2,2,http://www.gunviolencearchive.org/incident/585615
"June 19, 2016",Virginia,Roanoke,2328 Melrose Avenue,0,4,http://www.gunviolencearchive.org/incident/583631
"June 18, 2016",Virginia,Exmore,Fredrick Douglas Road,1,3,http://www.gunviolencearchive.org/incident/583584
"June 18, 2016",Georgia,Waycross,2625 Arnold Ct,2,2,http://www.gunviolencearchive.org/incident/583537
"June 18, 2016",Illinois,Chicago,East 79th Street and South Escanaba Avenue,0,4,http://www.gunviolencearchive.org/incident/583362
"June 14, 2016",Delaware,Wilmington,South Van Buren and Elm streets,0,4,http://www.gunviolencearchive.org/incident/580848
"June 14, 2016",California,Oakland,1301 Franklin Street,1,3,http://www.gunviolencearchive.org/incident/580791
"June 13, 2016",California,Fresno,East El Monte Way and Recreation Avenue,0,4,http://www.gunviolencearchive.org/incident/579517
"June 13, 2016",New York,Brooklyn,Avenue D and E. 57th,0,5,http://www.gunviolencearchive.org/incident/579786
"June 13, 2016",Illinois,Chicago,3200 block of West Congress,0,5,http://www.gunviolencearchive.org/incident/580279
"June 12, 2016",Florida,Orlando,1912 S Orange Avenue,50,53,http://www.gunviolencearchive.org/incident/577157
"June 11, 2016",New Mexico,Roswell,2300 block of Davis Ave,5,0,http://www.gunviolencearchive.org/incident/577574
"June 11, 2016",Minnesota,Webster,4000 block of Elmore Avenue,0,4,http://www.gunviolencearchive.org/incident/578238
"June 11, 2016",California,Stockton,Alvarado Avenue,1,3,http://www.gunviolencearchive.org/incident/577938
"June 11, 2016",California,Panorama City,8500 block of Cedros Avenue,3,2,http://www.gunviolencearchive.org/incident/577073
"June 11, 2016",North Carolina,Charlotte,4000 block of Collegiate Avenue,1,3,http://www.gunviolencearchive.org/incident/576774
"June 9, 2016",Florida,Fort Walton Beach,Landview Drive,0,4,http://www.gunviolencearchive.org/incident/575607
"June 8, 2016",District of Columbia,Washington,North Capitol Street and New York Avenue NW,0,4,http://www.gunviolencearchive.org/incident/574850
"June 8, 2016",Massachusetts,Boston,66 Washington St,1,3,http://www.gunviolencearchive.org/incident/574753
"June 6, 2016",California,Visalia,33 60 South Fairway Street,0,4,http://www.gunviolencearchive.org/incident/573327
"June 5, 2016",Minnesota,Minneapolis,8th and Humboldt Avenue N.,0,4,http://www.gunviolencearchive.org/incident/575061
"June 5, 2016",Florida,Cape Coral,2600 block of Skyline Boulevard S,3,3,http://www.gunviolencearchive.org/incident/572696
