date,state,city,address,killed,injured,incident
"December 31, 2017",Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,2,6,http://www.gunviolencearchive.org/incident/1017372
"December 31, 2017",Illinois,Chicago,2335 Howard St,0,4,http://www.gunviolencearchive.org/incident/1017422
"December 31, 2017",New Jersey,Long Branch,635 Wall St,4,0,http://www.gunviolencearchive.org/incident/1018118
"December 27, 2017",Nevada,Las Vegas,3750 E Bonanza Rd,2,2,http://www.gunviolencearchive.org/incident/1015666
"December 26, 2017",Florida,Miami,NW 18th Ave and 86th Ter,0,5,http://www.gunviolencearchive.org/incident/1015336
"December 24, 2017",Mississippi,Vicksburg,1111 Mulberry Street,0,5,http://www.gunviolencearchive.org/incident/1013983
"December 24, 2017",Alabama,Troy,100 block of Chapman St,1,4,http://www.gunviolencearchive.org/incident/1014052
"December 23, 2017",Louisiana,Eunice,100 block of City Avenue,1,3,http://www.gunviolencearchive.org/incident/1014971
"December 23, 2017",Alabama,Birmingham,3rd Ave N and 9th St N,0,4,http://www.gunviolencearchive.org/incident/1013377
"December 21, 2017",Louisiana,Lafayette,1500 block of N University Avenue,0,4,http://www.gunviolencearchive.org/incident/1012704
"December 21, 2017",Pennsylvania,Philadelphia,6600 block of Dorel St,1,3,http://www.gunviolencearchive.org/incident/1011953
"December 16, 2017",Mississippi,Mc Cool (Mccool),Ferguson Rd,0,4,http://www.gunviolencearchive.org/incident/1009629
"December 15, 2017",California,Pacoima,13041 Jouett Street,0,5,http://www.gunviolencearchive.org/incident/1008310
"December 13, 2017",Ohio,Columbus,200 block of E Barthman Ave,1,3,http://www.gunviolencearchive.org/incident/1007054
"December 12, 2017",Kentucky,Louisville,17th and Gallagher Streets,0,4,http://www.gunviolencearchive.org/incident/1006150
"December 12, 2017",Texas,Garland,1301 Rivercrest Ln,0,4,http://www.gunviolencearchive.org/incident/1006446
"December 9, 2017",Massachusetts,Boston,Proctor St,0,4,http://www.gunviolencearchive.org/incident/1004454
"December 6, 2017",Illinois,Chicago,4620 N Broadway,0,4,http://www.gunviolencearchive.org/incident/1002514
"December 4, 2017",Pennsylvania,Pittsburgh,7200 block of Everton St,2,2,http://www.gunviolencearchive.org/incident/1001566
"December 3, 2017",Tennessee,Memphis,656 Marshall Ave,1,3,http://www.gunviolencearchive.org/incident/1000479
"December 2, 2017",Michigan,Detroit,5200 Woodward Avenue,0,4,http://www.gunviolencearchive.org/incident/999969
"November 30, 2017",Michigan,Detroit,11000 block of Gunston,1,4,http://www.gunviolencearchive.org/incident/998843
"November 24, 2017",Ohio,Cleveland,11618 Buckeye Rd,1,5,http://www.gunviolencearchive.org/incident/995015
"November 24, 2017",Mississippi,Brookhaven,119 Martin Street,1,6,http://www.gunviolencearchive.org/incident/994323
"November 18, 2017",Minnesota,Minneapolis,3600 block of Emerson Avenue North,0,4,http://www.gunviolencearchive.org/incident/991017
"November 17, 2017",Louisiana,New Iberia,900 Block of Mississippi St,0,4,http://www.gunviolencearchive.org/incident/990974
"November 16, 2017",Georgia,Columbus,1400 block of 15th Street,0,7,http://www.gunviolencearchive.org/incident/989838
"November 14, 2017",California,Corning,17357 Stagecoach Rd,6,12,http://www.gunviolencearchive.org/incident/987611
