date,killed,injured,victims,state,city,address,incident,geolocation,congresional_district,assault_weapon,rifle,handgun_general,handgun_specific
2015-04-05,0,5,5,Indiana,Indianapolis,5000 block of Wildflower Court,http://www.gunviolencearchive.org/incident/318297,"39.8588, -86.2458",Congressional District: 7,NA,NA,NA,NA
2015-04-05,0,4,4,Michigan,Benton Harbor,1000 block of Blossom Lane,http://www.gunviolencearchive.org/incident/318531,"42.1156, -86.4336",Congressional District: 6,NA,NA,NA,NA
2015-04-03,0,4,4,Florida,Daytona Beach,300 block of Henry Butts Drive,http://www.gunviolencearchive.org/incident/317165,"29.2313, -81.0621",Congressional District: 6,NA,NA,NA,NA
2015-04-02,0,5,5,Maryland,Baltimore,1900 block of West Lanvale Street,http://www.gunviolencearchive.org/incident/316795,"39.2978, -76.6476",Congressional District: 7,NA,NA,NA,NA
2015-03-27,0,7,7,Florida,Panama City Beach,5312 Thomas Drive,http://www.gunviolencearchive.org/incident/314044,"30.1437, -85.7557",Congressional District: 2,NA,NA,NA,NA
2015-03-26,0,4,4,Texas,Amarillo,3100 block of Redwood,http://www.gunviolencearchive.org/incident/313304,"35.2446, -101.824",Congressional District: 13,NA,NA,NA,NA
2015-03-24,4,0,4,Indiana,Indianapolis,3100 block of North Harding Street,http://www.gunviolencearchive.org/incident/312119,"39.811, -86.1871",Congressional District: 7,NA,NA,NA,NA
2015-03-23,1,4,5,Tennessee,Clarksville,900 block of Carpenter Street,http://www.gunviolencearchive.org/incident/311922,"36.5367, -87.3488",Congressional District: 7,NA,NA,NA,NA
2015-03-22,1,6,7,New Mexico,Albuquerque,10140 Lomas NE,http://www.gunviolencearchive.org/incident/311348,"35.0873, -106.535",Congressional District: 1,NA,NA,NA,NA
2015-03-21,0,4,4,Florida,Tampa,1802 Seventh Ave,http://www.gunviolencearchive.org/incident/310573,"27.9604, -82.439",Congressional District: 14,NA,NA,NA,NA
2015-03-20,1,5,6,Texas,Lancaster,1500 block of Reynolds Street,http://www.gunviolencearchive.org/incident/468151,"32.6116, -96.7888",Congressional District: 30,NA,NA,NA,NA
2015-03-18,1,3,4,New Jersey,Newark,200 block of Clinton Place,http://www.gunviolencearchive.org/incident/308839,"40.7145, -74.2132",Congressional District: 10,NA,NA,NA,NA
2015-03-18,1,5,6,Arizona,Mesa,1504 West Main Street,http://www.gunviolencearchive.org/incident/308728,"33.4152, -111.864",Congressional District: 9,NA,NA,NA,NA
2015-03-17,3,4,7,California,Stockton,748 N Madison St,http://www.gunviolencearchive.org/incident/308687,"37.9597, -121.296",Congressional District: 9,NA,NA,NA,NA
2015-03-15,0,4,4,California,Compton,2700 block of West Alondra Boulevard,http://www.gunviolencearchive.org/incident/307512,"33.8863, -118.257",Congressional District: 44,NA,NA,NA,NA
2015-03-14,0,5,5,Georgia,Atlanta,2900 block of Delmar Lane,http://www.gunviolencearchive.org/incident/306897,"33.755, -84.482",Congressional District: 5,NA,NA,NA,NA
2015-03-14,0,4,4,California,Coachella,84000 block of Bagdad Avenue,http://www.gunviolencearchive.org/incident/308201,"33.6747, -116.18",Congressional District: 36,NA,NA,NA,NA
2015-03-13,2,3,5,Mississippi,Brookhaven,1097 South First St.,http://www.gunviolencearchive.org/incident/305907,"31.561, -90.4451",Congressional District: 3,NA,NA,NA,NA
2015-03-10,0,5,5,Georgia,Columbus,3023 Victory Drive,http://www.gunviolencearchive.org/incident/304238,"32.4375, -84.9598",Congressional District: 2,NA,NA,NA,NA
2015-03-09,1,3,4,Illinois,Chicago,200 block of West 105th,http://www.gunviolencearchive.org/incident/303659,"41.7018, -87.6549",Congressional District: 1,NA,NA,NA,NA
2015-03-08,1,3,4,South Carolina,Seneca,Wells Highway,http://www.gunviolencearchive.org/incident/302786,"34.664, -82.9271",Congressional District: 3,NA,NA,Handgun,NA
2015-03-07,0,4,4,Missouri,Saint Louis,3140 Olive St,http://www.gunviolencearchive.org/incident/491864,"38.6352, -90.224",Congressional District: 1,NA,NA,Handgun,NA
2015-03-04,3,4,7,California,San Bernardino,190 block of W Club Center Dr,http://www.gunviolencearchive.org/incident/300860,NA,NA,NA,NA,NA,NA
2015-03-01,0,4,4,Florida,Orange County,4900 block of Steyr Street,http://www.gunviolencearchive.org/incident/300660,"28.452, -81.4441",Congressional District: 5,NA,NA,NA,NA
2015-03-01,1,5,6,Michigan,Detroit,9855 Chalmers St,http://www.gunviolencearchive.org/incident/299344,"42.4117, -82.9691",Congressional District: 14,NA,NA,NA,NA
2015-02-28,1,3,4,Maryland,Baltimore,4300 block of Welbourne Road,http://www.gunviolencearchive.org/incident/299190,"39.3435, -76.588",Congressional District: 7,NA,NA,NA,NA
2015-02-26,8,1,9,Missouri,Tyrone,18279 Highway H,http://www.gunviolencearchive.org/incident/298122,"37.1956, -91.9012",Congressional District: 8,NA,NA,NA,NA
2015-02-25,3,1,4,Texas,Houston,5022 Mallow St,http://www.gunviolencearchive.org/incident/297681,"29.6599, -95.3556",Congressional District: 9,NA,NA,NA,NA
2015-02-23,0,4,4,Florida,Daytona Beach,Sheridan Road,http://www.gunviolencearchive.org/incident/588835,"29.2083, -81.046",Congressional District: 6,NA,NA,NA,NA
2015-02-22,4,1,5,Texas,Killeen,1706 Godman St.,http://www.gunviolencearchive.org/incident/296215,"31.1199, -97.6832",Congressional District: 31,NA,NA,NA,NA
2015-02-22,3,2,5,Georgia,Clarkesville,281 Lower Pond Court,http://www.gunviolencearchive.org/incident/296121,"34.6357, -83.5978",Congressional District: 9,NA,NA,NA,9mm
2015-02-22,0,4,4,South Carolina,Charleston,4224 Dorchester Road,http://www.gunviolencearchive.org/incident/296327,"32.8542, -80.0058",Congressional District: 6,NA,NA,NA,NA
2015-02-20,0,4,4,California,Sacramento,1417 R Street,http://www.gunviolencearchive.org/incident/295871,"38.57, -121.491",Congressional District: 6,NA,NA,NA,NA
2015-02-17,1,3,4,Arkansas,Little Rock,7900 Scott Hamilton,http://www.gunviolencearchive.org/incident/295502,"34.677, -92.3196",Congressional District: 2,NA,NA,NA,NA
2015-02-15,0,5,5,California,Long Beach,200 block of W. 14th Street,http://www.gunviolencearchive.org/incident/293883,"33.7837, -118.194",Congressional District: 47,NA,NA,NA,NA
2015-02-09,3,1,4,Florida,New Port Richey,9552 Adler Street,http://www.gunviolencearchive.org/incident/290626,"28.2963, -82.6173",Congressional District: 12,NA,NA,NA,NA
2015-02-08,0,6,6,Tennessee,Friendship,251 Dupree Rd,http://www.gunviolencearchive.org/incident/290510,"35.8471, -89.2348",Congressional District: 8,NA,NA,NA,NA
2015-02-07,5,2,7,Georgia,Douglasville,3640 Willow Tree Circle,http://www.gunviolencearchive.org/incident/289811,"33.7138, -84.6692",Congressional District: 13,NA,NA,NA,NA
2015-02-06,1,4,5,Oklahoma,Tulsa,1219 N. Sheridan Road,http://www.gunviolencearchive.org/incident/290098,"36.1723, -95.9045",Congressional District: 1,NA,NA,NA,NA
2015-02-05,3,3,6,Ohio,Beachwood (Warrensville Heights),Harvard Road,http://www.gunviolencearchive.org/incident/289146,"41.4498, -81.4964",Congressional District: 11,NA,NA,NA,NA
2015-02-01,0,6,6,New York,Syracuse,1217 West Fayette Street,http://www.gunviolencearchive.org/incident/287529,"43.0468, -76.1758",Congressional District: 24,NA,NA,handgun,NA
2015-02-01,1,4,5,New York,New York (Manhattan),3345 Broadway,http://www.gunviolencearchive.org/incident/287031,"40.8206, -73.9548",Congressional District: 13,NA,NA,NA,NA
2015-01-31,4,0,4,Georgia,Lagrange,100 block of Woodstream Trail,http://www.gunviolencearchive.org/incident/286810,"32.9776, -85.142",Congressional District: 3,NA,NA,NA,NA
2015-01-28,1,3,4,Georgia,Dekalb County,1600 block of Panola Road,http://www.gunviolencearchive.org/incident/285549,"33.6913, -84.1796",Congressional District: 4,NA,NA,NA,NA
2015-01-26,1,3,4,California,Stockton,1500 block of E. 9th Street,http://www.gunviolencearchive.org/incident/285123,"37.9307, -121.265",Congressional District: 9,NA,NA,NA,NA
2015-01-24,4,1,5,New York,Arverne (Queens),231-11 148th Avenue,http://www.gunviolencearchive.org/incident/282956,"40.6557, -73.7508",Congressional District: 5,NA,NA,NA,NA
2015-01-24,3,5,8,Nebraska,Omaha,3402 Parker St,http://www.gunviolencearchive.org/incident/283041,"41.2767, -95.9637",Congressional District: 2,NA,NA,NA,NA
2015-01-23,0,6,6,Massachusetts,Boston,954 Parker Street,http://www.gunviolencearchive.org/incident/283115,"42.3243, -71.101",Congressional District: 7,NA,NA,NA,NA
2015-01-20,1,3,4,Tennessee,Clarksville,321 Lansinger Lane,http://www.gunviolencearchive.org/incident/281663,"36.6134, -87.419",Congressional District: 7,NA,NA,NA,NA
2015-01-19,2,5,7,Texas,San Antonio,1000 block of Gibbs St.,http://www.gunviolencearchive.org/incident/281039,"29.4214, -98.4608",Congressional District: 35,NA,NA,NA,NA
2015-01-13,2,2,4,Illinois,Rockford,700 block of Oakley Avenue,http://www.gunviolencearchive.org/incident/278927,"42.2835, -89.1148",Congressional District: 17,NA,NA,NA,NA
2015-01-13,0,5,5,Virginia,Portsmouth,4100 block of Portsmouth Boulevard,http://www.gunviolencearchive.org/incident/298773,"36.8192, -76.3134",Congressional District: 3,NA,NA,NA,NA
2015-01-11,2,5,7,North Carolina,Hope Mills,1900 block of Gumberry Road,http://www.gunviolencearchive.org/incident/276845,"34.9339, -78.8664",Congressional District: 2,NA,NA,NA,NA
2015-01-11,1,3,4,Florida,Lakeland,7665 Chase Road,http://www.gunviolencearchive.org/incident/277480,"28.1425, -81.982",Congressional District: 15,NA,NA,NA,NA
2015-01-11,0,5,5,California,San Jose,3840 Monterey Hwy,http://www.gunviolencearchive.org/incident/276766,"37.2818, -121.839",Congressional District: 19,NA,NA,NA,NA
2015-01-10,2,2,4,Kansas,Wichita,4859 E Harry Street,http://www.gunviolencearchive.org/incident/276536,"37.6646, -97.2797",Congressional District: 4,NA,NA,NA,NA
2015-01-09,4,0,4,California,San Francisco,Laguna and Page streets,http://www.gunviolencearchive.org/incident/276459,"37.7737, -122.426",Congressional District: 12,NA,NA,NA,NA
2015-01-08,1,3,4,Massachusetts,Boston,104 Harrishof Street,http://www.gunviolencearchive.org/incident/275986,"42.3169, -71.0897",Congressional District: 7,NA,NA,NA,NA
2015-01-07,1,3,4,Tennessee,Chattanooga,773 West Main Street,http://www.gunviolencearchive.org/incident/275064,"35.0403, -85.3182",Congressional District: 3,NA,NA,NA,NA
2015-01-06,1,3,4,Florida,Miami,1300 block of NW 62nd Street,http://www.gunviolencearchive.org/incident/274867,"25.8315, -80.2188",Congressional District: 24,NA,NA,NA,NA
2015-01-04,2,4,6,Virginia,Roanoke,3634 Shenandoah Ave NW,http://www.gunviolencearchive.org/incident/273535,"37.281, -79.9985",Congressional District: 6,NA,NA,NA,NA
2015-01-04,3,1,4,Texas,Dallas,2000 block of Ben Hur St.,http://www.gunviolencearchive.org/incident/273397,"32.6799, -96.6111",Congressional District: 30,NA,NA,NA,NA
2015-01-02,1,4,5,Georgia,Savannah,500 block of W. 54th Street,http://www.gunviolencearchive.org/incident/273965,"32.0415, -81.0945",Congressional District: 1,NA,NA,NA,NA
2015-01-01,0,5,5,Tennessee,Memphis,Interstate 240 and Poplar Avenue,http://www.gunviolencearchive.org/incident/272016,"35.1489, -90.0461",Congressional District: 9,NA,NA,NA,NA
2016-12-31,2,2,4,Georgia,Lenox (El Dorado),27 Briarwood Ct,http://www.gunviolencearchive.org/incident/740447,"31.3562, -83.4982",Congressional District: 8,NA,NA,NA,NA
2016-12-31,1,3,4,Texas,Houston,3704 Fannin Street,http://www.gunviolencearchive.org/incident/738749,"29.738, -95.3788",Congressional District: 18,NA,NA,NA,NA
2016-12-30,0,5,5,Ohio,Mansfield,3230 Possum Run Rd,http://www.gunviolencearchive.org/incident/738041,"40.6728, -82.4973",Congressional District: 12,NA,NA,NA,NA
2016-12-30,2,2,4,Connecticut,Wallingford,95 S Turnpike Road,http://www.gunviolencearchive.org/incident/738576,"41.4494, -72.8436",Congressional District: 3,NA,NA,NA,NA
2016-12-28,1,4,5,Georgia,Columbus,2914 10th Street,http://www.gunviolencearchive.org/incident/736690,"32.4649, -84.949",Congressional District: 2,NA,NA,NA,NA
2016-12-25,0,4,4,Alabama,Ozark,858 US-231,http://www.gunviolencearchive.org/incident/735947,"31.4499, -85.6612",Congressional District: 2,NA,NA,NA,NA
2016-12-25,3,4,7,Illinois,Chicago,8600 block of South Maryland Avenue,http://www.gunviolencearchive.org/incident/734157,"41.7383, -87.6039",Congressional District: 1,NA,NA,NA,NA
2016-12-25,1,5,6,New York,Mount Vernon,4 North 3rd Avenue,http://www.gunviolencearchive.org/incident/733599,"40.9125, -73.8365",Congressional District: 16,NA,NA,Handgun,NA
2016-12-24,0,7,7,North Carolina,Madison,490 K Ford Rd,http://www.gunviolencearchive.org/incident/732927,"36.3893, -80.0078",Congressional District: 6,NA,NA,handgun,NA
2016-12-24,4,0,4,North Carolina,Wilson,2241 Banks Lane East,http://www.gunviolencearchive.org/incident/733176,"35.734, -77.8724",Congressional District: 1,NA,NA,NA,NA
2016-12-23,1,3,4,Alabama,Birmingham,3813 Richard Arrington Boulevard North,http://www.gunviolencearchive.org/incident/732263,"33.5384, -86.7826",Congressional District: 7,NA,NA,Handgun,NA
2016-12-23,0,4,4,Illinois,Chicago,4900 block of West Hubbard,http://www.gunviolencearchive.org/incident/732574,"41.89, -87.6585",Congressional District: 7,NA,NA,NA,NA
2016-12-17,0,4,4,North Carolina,Charlotte,4115 N. Tryon Street,http://www.gunviolencearchive.org/incident/728286,"35.2578, -80.7963",Congressional District: 12,NA,NA,NA,NA
2016-12-17,5,0,5,Illinois,Chicago (Roseland),100 block of West 105th Street,http://www.gunviolencearchive.org/incident/727759,"41.7037, -87.6259",Congressional District: 2,NA,NA,NA,NA
2016-12-16,2,2,4,Illinois,Chicago,4300 block of South Rockwell,http://www.gunviolencearchive.org/incident/727544,"41.8156, -87.6895",Congressional District: 4,NA,NA,NA,NA
2016-12-16,0,4,4,Illinois,Chicago,13th and South Kedzie,http://www.gunviolencearchive.org/incident/727555,"41.8646, -87.7056",Congressional District: 7,NA,NA,NA,NA
2016-12-12,1,3,4,California,Sacramento,4800 block of Myrtle Avenue,http://www.gunviolencearchive.org/incident/724667,"38.6537, -121.353",Congressional District: 6,NA,NA,NA,NA
2016-12-11,0,4,4,New York,Brooklyn,192 Knickerbocker Ave,http://www.gunviolencearchive.org/incident/723649,"40.7036, -73.9272",Congressional District: 7,NA,NA,NA,NA
2016-12-11,1,4,5,Florida,Orlando (Pine Hills),4305 N Pine Hills Rd,http://www.gunviolencearchive.org/incident/723643,"28.596, -81.451",Congressional District: 5,NA,NA,NA,NA
2016-12-11,0,5,5,Maryland,Baltimore,3916 South Hanover Street,http://www.gunviolencearchive.org/incident/723292,"39.235, -76.6114",Congressional District: 2,NA,NA,NA,NA
2016-12-11,0,4,4,North Carolina,Rocky Mount,1200 block of East Highland Ave,http://www.gunviolencearchive.org/incident/725338,"35.9468, -77.7798",Congressional District: 1,NA,NA,NA,NA
2016-12-09,4,0,4,Texas,Channelview,15300 block of Market,http://www.gunviolencearchive.org/incident/725323,"29.7717, -95.1392",Congressional District: 36,NA,NA,NA,NA
2016-12-09,0,4,4,California,Fresno,842 Fresno Street,http://www.gunviolencearchive.org/incident/722452,"36.7277, -119.803",Congressional District: 16,NA,NA,NA,NA
2016-12-05,4,1,5,New Mexico,Albuquerque,1532 Stagecoach Lane,http://www.gunviolencearchive.org/incident/719128,"35.0483, -106.49",Congressional District: 1,NA,NA,NA,NA
2016-12-03,0,6,6,California,Los Angeles,91st Street and Western Avenue,http://www.gunviolencearchive.org/incident/717873,"33.9545, -118.309",Congressional District: 43,NA,NA,NA,NA
2016-12-02,0,6,6,New Jersey,Bloomfield,3 1st Ave,http://www.gunviolencearchive.org/incident/717616,"40.7701, -74.1891",Congressional District: 10,NA,NA,NA,NA
2016-12-01,1,3,4,California,Clearlake Oaks,N/A,http://www.gunviolencearchive.org/incident/716001,"39.0455, -122.628",Congressional District: 3,NA,NA,NA,NA
2016-11-30,2,4,6,Maryland,Baltimore,2901 Garrison Blvd,http://www.gunviolencearchive.org/incident/715101,"39.3205, -76.6771",Congressional District: 7,NA,NA,NA,NA
2016-11-28,1,3,4,Texas,Mission (Palmview),1840 West Palma Vista Drive,http://www.gunviolencearchive.org/incident/712796,"26.2335, -98.3845",Congressional District: 28,NA,NA,NA,9mm
2016-11-28,0,4,4,California,Wilmington,1067 McDonald Avenue,http://www.gunviolencearchive.org/incident/712776,"33.7832, -118.272",Congressional District: 44,NA,NA,NA,NA
2016-11-28,0,4,4,California,San Pedro,300 block of West 2nd Street,http://www.gunviolencearchive.org/incident/713445,"33.7424, -118.284",Congressional District: 44,NA,NA,NA,NA
2016-11-27,1,9,10,Louisiana,New Orleans,100 block of Bourbon Street,http://www.gunviolencearchive.org/incident/711597,"29.9542, -90.0692",Congressional District: 2,NA,NA,NA,NA
2016-11-27,0,7,7,Missouri,Kansas City,Gregory and Prospect,http://www.gunviolencearchive.org/incident/711744,"38.998, -94.5569",Congressional District: 5,NA,NA,NA,NA
2016-11-26,1,5,6,Illinois,Chicago,8800 block of S Exchange Ave,http://www.gunviolencearchive.org/incident/710732,"41.7354, -87.5532",Congressional District: 2,NA,NA,NA,NA
2016-11-25,0,4,4,Louisiana,New Orleans,Magnolia Street and Felicity Street,http://www.gunviolencearchive.org/incident/710467,"29.9442, -90.0864",Congressional District: 2,NA,NA,NA,NA
2016-11-24,2,4,6,Kentucky,Louisville,4501 W Broadway,http://www.gunviolencearchive.org/incident/709370,"38.2506, -85.827",Congressional District: 3,NA,NA,NA,NA
2016-11-24,1,3,4,New York,Albany,77 Central Ave,http://www.gunviolencearchive.org/incident/709276,"42.6591, -73.7658",Congressional District: 20,NA,NA,NA,NA
2016-11-23,0,4,4,Mississippi,Olive Branch,928 Cross Road,http://www.gunviolencearchive.org/incident/708777,"34.9898, -89.7674",Congressional District: 1,NA,NA,NA,NA
2016-11-22,1,4,5,Florida,Clewiston,1068 Harlem Academy Avenue,http://www.gunviolencearchive.org/incident/708392,"26.7371, -80.9531",Congressional District: 20,NA,NA,NA,NA
2016-11-18,0,4,4,Illinois,Chicago,5000 block of West Wabansia,http://www.gunviolencearchive.org/incident/704568,"41.9116, -87.7512",Congressional District: 7,NA,NA,NA,NA
2016-11-17,1,7,8,Tennessee,Dyersburg,160 Longfellow,http://www.gunviolencearchive.org/incident/703245,"36.0293, -89.3647",Congressional District: 8,NA,NA,NA,NA
2016-11-13,3,2,5,Florida,Jacksonville,5105 Cleveland Rd,http://www.gunviolencearchive.org/incident/699605,"30.3648, -81.706",Congressional District: 5,NA,NA,Handgun,NA
2016-11-13,0,4,4,Texas,San Antonio,8000 Midcrown,http://www.gunviolencearchive.org/incident/699332,"29.507, -98.3812",Congressional District: 28,NA,NA,NA,NA
2016-11-13,3,2,5,California,San Diego,3800 block of Marlborough Avenue,http://www.gunviolencearchive.org/incident/700232,"32.7478, -117.106",Congressional District: 51,NA,NA,Handgun,NA
2016-11-13,0,4,4,Florida,Orlando,Conley Street and South Ivey Lane,http://www.gunviolencearchive.org/incident/699316,"28.5325, -81.4343",Congressional District: 5,NA,NA,NA,NA
2016-11-12,1,5,6,California,Sacramento,8600 block of Ardith Drive,http://www.gunviolencearchive.org/incident/699033,"38.4564, -121.384",Congressional District: 7,NA,NA,NA,NA
2016-11-12,1,3,4,Missouri,Kansas City,21st St and Cleveland Ave,http://www.gunviolencearchive.org/incident/700363,"39.0862, -94.5382",Congressional District: 5,NA,NA,NA,NA
2016-11-12,0,5,5,Connecticut,Bridgeport,2500 Park Avenue,http://www.gunviolencearchive.org/incident/699303,"41.1926, -73.2146",Congressional District: 4,NA,NA,NA,NA
2016-11-11,0,4,4,Texas,Houston,7705 Channelside Street,http://www.gunviolencearchive.org/incident/699863,"29.7169, -95.2832",Congressional District: 29,NA,NA,NA,NA
2016-11-10,1,3,4,Texas,Houston,6610 S Sam Houston Pkwy W,http://www.gunviolencearchive.org/incident/698383,"29.8671, -95.5636",Congressional District: 2,NA,NA,NA,NA
2016-11-09,0,5,5,Washington,Seattle,1524 3rd Ave,http://www.gunviolencearchive.org/incident/696917,"47.6101, -122.338",Congressional District: 7,NA,NA,NA,NA
2016-11-09,1,3,4,Illinois,Chicago,3400 block of W Monroe,http://www.gunviolencearchive.org/incident/697377,"41.8796, -87.711",Congressional District: 7,NA,NA,NA,NA
2016-11-09,0,4,4,Tennessee,Memphis,1800 block of East Brooks Road,http://www.gunviolencearchive.org/incident/696352,"35.061, -90.0037",Congressional District: 9,NA,NA,NA,NA
2016-11-05,1,3,4,Florida,Fort Lauderdale (Lauderhill),3135 West Broward Boulevard,http://www.gunviolencearchive.org/incident/693624,"26.1213, -80.187",Congressional District: 20,NA,NA,NA,NA
2016-11-05,0,4,4,Texas,San Antonio,10726 Perrin Beitel Rd,http://www.gunviolencearchive.org/incident/693438,"29.5376, -98.4109",Congressional District: 35,NA,NA,NA,NA
2016-11-05,0,5,5,South Carolina,Myrtle Beach,803 Main St,http://www.gunviolencearchive.org/incident/693401,"33.6933, -78.885",Congressional District: 7,NA,NA,NA,NA
2016-11-05,0,8,8,California,Oakland,420 14th Street,http://www.gunviolencearchive.org/incident/693374,"37.8041, -122.27",Congressional District: 13,NA,NA,NA,NA
2016-11-05,0,5,5,Illinois,Chicago,4800 block of North Winthrop,http://www.gunviolencearchive.org/incident/693290,"41.9694, -87.658",Congressional District: 9,NA,NA,NA,NA
2016-11-04,0,4,4,Pennsylvania,Philadelphia,5451 Springfield Ave,http://www.gunviolencearchive.org/incident/693307,"39.9403, -75.2251",Congressional District: 2,NA,NA,NA,NA
2016-11-03,2,2,4,Illinois,Chicago,8000 block of S Shore Dr,http://www.gunviolencearchive.org/incident/692020,"41.7935, -87.5804",Congressional District: 2,NA,NA,NA,NA
2016-11-03,2,2,4,New Jersey,Orange,234 Cleveland Street,http://www.gunviolencearchive.org/incident/692315,"40.7788, -74.2272",Congressional District: 10,NA,NA,NA,NA
2016-11-02,1,4,5,Arkansas,Little Rock,2111 Bragg Street,http://www.gunviolencearchive.org/incident/692025,"34.7279, -92.2659",Congressional District: 2,NA,NA,NA,NA
2016-11-01,1,5,6,Tennessee,Memphis,5200 block of Zodiac Rd,http://www.gunviolencearchive.org/incident/691113,"35.0063, -89.9592",Congressional District: 9,NA,NA,NA,NA
2016-10-31,0,4,4,Louisiana,Shreveport,700 Block of W 68th St,http://www.gunviolencearchive.org/incident/689518,"32.4437, -93.7695",Congressional District: 4,NA,NA,Handgun,NA
2016-10-30,0,4,4,Ohio,Toledo,742 Junction Ave,http://www.gunviolencearchive.org/incident/688979,"41.6478, -83.5771",Congressional District: 9,NA,NA,NA,NA
2016-10-30,0,4,4,New York,New York (Manhattan),135 Ridge Street,http://www.gunviolencearchive.org/incident/688841,"40.7197, -73.9829",Congressional District: 12,NA,NA,NA,NA
2016-10-30,2,5,7,New York,Newburgh,119 First Street,http://www.gunviolencearchive.org/incident/688577,"41.502, -74.0104",Congressional District: 18,NA,NA,Handgun,NA
2016-10-30,3,3,6,Maryland,Capitol Heights,6860 Walker Mill Road,http://www.gunviolencearchive.org/incident/689020,"38.8701, -76.8896",Congressional District: 4,NA,NA,NA,NA
2016-10-30,0,5,5,Texas,San Antonio,2900 block of Aspen Meadow,http://www.gunviolencearchive.org/incident/688592,NA,NA,NA,NA,NA,NA
2016-10-29,1,3,4,Ohio,Dayton,2010 Cornell Ridge Dr,http://www.gunviolencearchive.org/incident/687940,"39.7772, -84.2521",Congressional District: 10,NA,NA,NA,NA
2016-10-29,0,5,5,California,Los Angeles,1600 block of Century Boulevard,http://www.gunviolencearchive.org/incident/689009,"33.9374, -118.219",Congressional District: 44,NA,NA,NA,NA
2016-10-29,0,4,4,California,Riverside,3500 block of Madison Street,http://www.gunviolencearchive.org/incident/688210,"33.9366, -117.406",Congressional District: 41,NA,NA,NA,NA
2016-10-28,0,6,6,Mississippi,Jackson,200 block of Lorenz Blvd,http://www.gunviolencearchive.org/incident/688429,"32.3339, -90.1861",Congressional District: 2,NA,NA,Handgun,NA
2016-10-28,0,4,4,Florida,Miami Gardens,Northwest 173rd Terrace and 27th Avenue,http://www.gunviolencearchive.org/incident/687375,"25.9322, -80.2448",Congressional District: 24,NA,NA,NA,NA
2016-10-27,4,0,4,Georgia,Jackson,600 block of Moccasin Gap Road,http://www.gunviolencearchive.org/incident/686312,"33.384, -83.9905",Congressional District: 10,NA,NA,NA,NA
2016-10-25,1,3,4,Ohio,Dayton,3300 block of Riverside Dr,http://www.gunviolencearchive.org/incident/685379,"39.7995, -84.2076",Congressional District: 10,NA,NA,NA,NA
2016-10-25,2,3,5,Virginia,Roanoke,830 Campbell Avenue Southeast,http://www.gunviolencearchive.org/incident/684130,"37.2732, -79.9306",Congressional District: 6,NA,NA,handgun,9mm
2016-10-23,1,5,6,Oklahoma,Wellston,Highway 66 and N 3310 Rd,http://www.gunviolencearchive.org/incident/683142,"35.6755, -97.1058",Congressional District: 3,Assault weapon,AR-15,Handgun,NA
2016-10-22,0,7,7,California,Oakland,77th and Bancroft Avenues,http://www.gunviolencearchive.org/incident/682298,"37.7639, -122.175",Congressional District: 13,NA,NA,NA,NA
2016-10-18,0,4,4,California,San Francisco,325 La Grande Ave,http://www.gunviolencearchive.org/incident/679290,"37.7196, -122.426",Congressional District: 12,NA,NA,NA,NA
2016-10-17,1,4,5,Illinois,Chicago (Englewood),6700 block of South Winchester,http://www.gunviolencearchive.org/incident/678438,"41.7721, -87.6725",Congressional District: 7,NA,NA,NA,NA
2016-10-15,0,5,5,Alabama,Mobile,1800 block of St Stephens Road,http://www.gunviolencearchive.org/incident/677293,"30.703, -88.0787",Congressional District: 1,NA,NA,NA,NA
2016-10-15,1,5,6,Illinois,Rockford,7801 East State St,http://www.gunviolencearchive.org/incident/676686,"42.271, -88.9649",Congressional District: 16,NA,NA,NA,NA
2016-10-15,4,11,15,California,Los Angeles,2918 Rimpau Blvd,http://www.gunviolencearchive.org/incident/676663,"34.0274, -118.351",Congressional District: 37,NA,NA,NA,NA
2016-10-14,1,6,7,Illinois,Chicago,3300 block of W Maypole Ave,http://www.gunviolencearchive.org/incident/676376,"41.8839, -87.7086",Congressional District: 7,NA,NA,NA,NA
2016-10-13,0,4,4,Illinois,Chicago,2700 block of West Lexington,http://www.gunviolencearchive.org/incident/675993,"41.8723, -87.6937",Congressional District: 7,NA,NA,NA,NA
2016-10-09,1,8,9,Michigan,Grand Rapids,1850 28th Street SE,http://www.gunviolencearchive.org/incident/672203,"42.9125, -85.6209",Congressional District: 3,NA,NA,NA,NA
2016-10-09,1,3,4,California,Sacramento,1696 Arden Way,http://www.gunviolencearchive.org/incident/672217,"38.5982, -121.428",Congressional District: 6,NA,NA,NA,NA
2016-10-08,0,4,4,New York,Brooklyn,7301 3rd Ave,http://www.gunviolencearchive.org/incident/671717,"40.6322, -74.0272",Congressional District: 11,NA,NA,NA,NA
2016-10-04,3,2,5,Louisiana,New Orleans,3727 Ulloa Street,http://www.gunviolencearchive.org/incident/669777,"29.9673, -90.1019",Congressional District: 2,NA,NA,NA,NA
2016-10-03,0,4,4,Minnesota,Minneapolis,Fourth St and Hennepin Ave,http://www.gunviolencearchive.org/incident/668407,"44.9804, -93.2713",Congressional District: 5,NA,NA,NA,NA
2016-10-02,1,4,5,Texas,San Antonio,2600 South Flores Street,http://www.gunviolencearchive.org/incident/667984,"29.3988, -98.5045",Congressional District: 35,NA,NA,NA,NA
2016-10-01,4,0,4,Illinois,Pembroke Township,17250E Road,http://www.gunviolencearchive.org/incident/668279,"41.086, -87.5391",Congressional District: 2,NA,NA,NA,9mm
