date,state,city,address,killed,injured,incident
2013-12-31,New York,Brooklyn,60 Glenmore Ave,0,6,http://www.gunviolencearchive.org/incident/496684
2013-12-28,Alabama,Montgomery,954 Highland Ave,3,5,http://www.gunviolencearchive.org/incident/496668
2013-12-26,Louisiana,Slidell,2144 First St,2,6,http://www.gunviolencearchive.org/incident/496634
2013-12-26,Louisiana,Lockport,313 Tenth St,3,3,http://www.gunviolencearchive.org/incident/496584
2013-12-25,New Jersey,Irvington,Nye Avenue and 21st Street,3,2,http://www.gunviolencearchive.org/incident/495588
2013-12-25,New York,Medford,33A Cedarhurst Ave,1,3,http://www.gunviolencearchive.org/incident/495577
2013-12-22,Michigan,Muskegon,2300 block of W McMillan Rd,1,3,http://www.gunviolencearchive.org/incident/495566
2013-12-21,North Carolina,Shelby,Jose Street,0,4,http://www.gunviolencearchive.org/incident/495557
2013-12-21,New Jersey,Trenton,Jersey Street and Home Avenue,1,4,http://www.gunviolencearchive.org/incident/495548
2013-12-15,Florida,Homestead (Florida City),7th Avenue and 13th Terrace,1,3,http://www.gunviolencearchive.org/incident/495543
2013-12-15,Texas,Channelview,900 block of Ashland Boulevard,0,5,http://www.gunviolencearchive.org/incident/495530
2013-12-14,North Carolina,Statesville,167 Wallace Springs,0,4,http://www.gunviolencearchive.org/incident/495506
2013-12-07,Delaware,Wilmington,3421 Kirkwood Hwy,0,4,http://www.gunviolencearchive.org/incident/495374
2013-12-01,Kansas,Topeka,1629 SW Central Park,4,0,http://www.gunviolencearchive.org/incident/495332
2013-12-01,Florida,Miami,NW 64th Street and 12th Avenue,2,2,http://www.gunviolencearchive.org/incident/495347
2013-11-30,Michigan,Lansing,N/A,0,5,http://www.gunviolencearchive.org/incident/495323
2013-11-30,Georgia,Valdosta,Gordon Street and North Ashley Street,0,4,http://www.gunviolencearchive.org/incident/495268
2013-11-29,California,Fresno,Oleander and Modoc,0,4,http://www.gunviolencearchive.org/incident/495195
2013-11-29,Indiana,Indianapolis,3400 block of East 34th Street,0,4,http://www.gunviolencearchive.org/incident/495178
2013-11-28,New York,Rochester,St. Paul Boulevard and Andrews Street,0,4,http://www.gunviolencearchive.org/incident/495171
2013-11-25,Minnesota,Minneapolis,1611 E Lake St,1,3,http://www.gunviolencearchive.org/incident/494215
2013-11-25,California,Oakland,96th Avenue and Olive Street,0,7,http://www.gunviolencearchive.org/incident/495145
2013-11-23,Oklahoma,Tulsa,Pine Street and Harvard Avenue,4,1,http://www.gunviolencearchive.org/incident/494155
2013-11-21,Pennsylvania,Philadelphia,1400 block of N. 60th Street,0,4,http://www.gunviolencearchive.org/incident/494116
2013-11-20,Texas,Houston,8200 block of Sunbury,3,2,http://www.gunviolencearchive.org/incident/494072
2013-11-15,Texas,Houston,4400 block of Tiffany,1,3,http://www.gunviolencearchive.org/incident/494033
2013-11-11,New York,Brooklyn,318 Maujer St,4,1,http://www.gunviolencearchive.org/incident/493882
2013-11-10,Ohio,Canton,1215 Tuscarawas St W,1,3,http://www.gunviolencearchive.org/incident/493893
2013-11-10,Arizona,Phoenix,5800 South 53rd Glen,1,3,http://www.gunviolencearchive.org/incident/493863
2013-11-09,Texas,Cypress,7300 block of Enchanted Creek Drive,2,16,http://www.gunviolencearchive.org/incident/493842
