date,state,city,killed,injured,incident,victims,geolocation,congresional_district,assault_weapon,rifle,handgun_general,handgun_specific
2013-10-27,Texas,Beaumont,0,4,http://www.gunviolencearchive.org/incident/492427,4,"30.0716, -94.1485",Congressional District: 14,NA,NA,NA,NA
2013-10-26,Connecticut,New Haven,1,5,http://www.gunviolencearchive.org/incident/492366,6,"41.3067, -72.9118",Congressional District: 3,NA,NA,NA,NA
2013-10-26,Florida,Miami Gardens,0,4,http://www.gunviolencearchive.org/incident/481419,4,"25.9443, -80.2519",Congressional District: 24,NA,NA,NA,NA
2013-10-21,Pennsylvania,Pittsburgh (Homewood),2,5,http://www.gunviolencearchive.org/incident/481268,7,"40.4555, -79.897",Congressional District: 14,NA,NA,NA,NA
2013-10-20,Florida,Miami,2,2,http://www.gunviolencearchive.org/incident/481263,4,"25.6087, -80.5096",Congressional District: 26,NA,NA,NA,NA
2013-10-20,Florida,Margate,0,4,http://www.gunviolencearchive.org/incident/481254,4,"26.2503, -80.2237",Congressional District: 21,NA,NA,NA,NA
2013-10-13,Pennsylvania,Harrisburg,0,8,http://www.gunviolencearchive.org/incident/481043,8,"40.2692, -76.8681",Congressional District: 4,NA,NA,NA,NA
2013-10-12,Oklahoma,Tulsa,0,5,http://www.gunviolencearchive.org/incident/481029,5,"36.1189, -95.8429",Congressional District: 1,NA,NA,Handgun,NA
2013-10-09,Texas,Paris,4,0,http://www.gunviolencearchive.org/incident/480981,4,"33.6652, -95.5505",Congressional District: 4,NA,NA,NA,NA
2013-10-06,Pennsylvania,Philadelphia,1,5,http://www.gunviolencearchive.org/incident/480961,6,"39.943, -75.2268",Congressional District: 2,NA,NA,NA,NA
2013-10-06,Arizona,Avondale,0,4,http://www.gunviolencearchive.org/incident/480897,4,"33.451, -112.301",Congressional District: 3,NA,NA,NA,NA
2013-10-05,New York,Buffalo,0,4,http://www.gunviolencearchive.org/incident/480882,4,"42.9114, -78.8075",Congressional District: 26,NA,NA,NA,NA
2013-10-05,California,Fresno,1,12,http://www.gunviolencearchive.org/incident/480765,13,"36.7054, -119.76",Congressional District: 16,NA,NA,NA,NA
2013-10-02,Nebraska,Omaha,0,4,http://www.gunviolencearchive.org/incident/480747,4,"41.305, -95.9758",Congressional District: 2,NA,NA,NA,NA
2013-09-29,Illinois,Chicago,0,4,http://www.gunviolencearchive.org/incident/480730,4,"41.7854, -87.6209",Congressional District: 1,NA,NA,NA,NA
